No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted
15,Rome Odunze,22,WR,,,212,,Washington,6/3/2002,Rook,,Chicago Bears / 1st / 9th pick / 2024
45,Amen Ogbongbemiga,26,LB,,,231,6-0,Oklahoma St.,9/4/1998,3,,
36,Jonathan Owens,29,S,,,210,5-11,Missouri Western St.,7/22/1995,5,,
81,Dante Pettis,29,WR,,,195,6-1,Washington,10/23/1995,6,,San Francisco 49ers / 2nd / 44th pick / 2018
96,Zacch Pickens,24,DL,,,300,,South Carolina,3/6/2000,1,,Chicago Bears / 3rd / 64th pick / 2023
79,Matt Pryor,30,OT,,,332,6-7,TCU,12/16/1994,5,,Philadelphia Eagles / 6th / 206th pick / 2018
67,Keith Randolph,,DL,,,296,,Illinois,,Rook,,
16,Austin Reed,,QB,,,220,,"Southern Illinois,West Florida,Western Kentucky",,Rook,,
90,Dominique Robinson,26,DE,,,253,6-5,Miami (OH),7/2/1998,2,,Chicago Bears / 5th / 174th pick / 2022
11,Brett Rypien,28,QB,,,202,6-2,Boise St.,7/9/1996,4,,
57,Jack Sanborn,24,LB,,,234,,Wisconsin,7/29/2000,2,,
8,Cairo Santos,33,K,,,175,5-8,Tulane,11/12/1991,10,,
48,Patrick Scales,36,LS,,,226,6-3,Utah St.,2/11/1988,10,,
10,Tyler Scott,23,WR,,,185,,Cincinnati,10/12/2001,1,,Chicago Bears / 4th / 133rd pick / 2023
44,Noah Sewell,22,LB,,,253,6-2,Oregon,4/26/2002,1,,Chicago Bears / 5th / 148th pick / 2023
65,Coleman Shelton,29,C,,,299,6-4,Washington,7/28/1995,5,,
32,Terell Smith,25,DB,,,207,6-0,Minnesota,7/27/1999,1,,Chicago Bears / 5th / 165th pick / 2023
29,Tyrique Stevenson,24,CB,,,204,,"Georgia,Miami (FL)",5/26/2000,1,,Chicago Bears / 2nd / 56th pick / 2023
46,Reddy Steward,23,DB,,,178,5-11,Troy,5/4/2001,Rook,,
27,Greg Stroman,28,CB,,,180,5-11,Virginia Tech,3/8/1996,6,,Washington Redskins / 7th / 241st pick / 2018
86,Freddie Swain,26,WR,,,199,6-0,Florida,8/4/1998,4,,Seattle Seahawks / 6th / 214th pick / 2020
98,Montez Sweat,28,DE,,,262,6-6,"Michigan St.,Copiah-Lincoln CC,Mississippi St.",9/4/1996,5,,Washington Redskins / 1st / 26th pick / 2019
47,Tommy Sweeney,29,TE,,,255,6-5,Boston Col.,7/1/1995,5,,Buffalo Bills / 7th / 228th pick / 2019
4,D'Andre Swift,25,RB,,,215,5-9,Georgia,1/14/1999,4,,Detroit Lions / 2nd / 35th pick / 2020
19,Tory Taylor,27,P,,,230,,Iowa,7/10/1997,Rook,,Chicago Bears / 4th / 122nd pick / 2024
33,Ro Torrence,,DB,,,200,,Arizona St.,,Rook,,
37,Corliss Waitman,29,P,,,210,6-2,South Alabama,7/21/1995,3,,
95,DeMarcus Walker,30,DE,,,280,6-4,Florida St.,9/30/1994,7,,Denver Broncos / 2nd / 51st pick / 2017
83,Nsimba Webster,28,WR,,,180,5-10,Eastern Washington,1/27/1996,5,,
33,Ian Wheeler,23,RB,,,205,5-11,Howard,9/15/2001,Rook,,
60,Javin White,27,DB,,,205,6-3,UNLV,2/21/1997,4,,
18,Caleb Williams,23,QB,,,215,,"Oklahoma,USC",11/18/2001,Rook,,Chicago Bears / 1st / 1st pick / 2024
58,Darnell Wright,23,OL,,,335,,Tennessee,8/10/2001,1,,Chicago Bears / 1st / 10th pick / 2023
72,Kiran Amegadjie (NON),22,OL,,,323,,Yale,2/1/2002,Rook,,Chicago Bears / 3rd / 75th pick / 2024
