Library,Date_First_Used,Total_Files,Category,Label
shapely,2024-04-25,2,Geometric Operations,Data Science
shutil,2022-12-22,4,File Operations,File Processing
signal,2023-03-20,3,Signal Processing,Data Science
skimage,2023-03-28,2,Image Processing,Data Science
sklearn,2021-09-06,313,Machine Learning,Data Science
smtplib,2021-11-17,3,Email Sending,Web Services
"smtplib,",2022-11-08,2,Email Sending,Web Services
soundfile,2024-04-24,13,Audio File I/O,Multimedia
speech_to_text_eval,2024-04-24,1,Speech Recognition Evaluation,Data Science
sqlalchemy,2021-10-25,26,SQL Toolkit,Data Storage
sqlite3,2021-10-30,7,SQLite Database,Data Storage
squarify,2024-04-25,2,Treemap Visualization,Data Visualization
statsmodels,2021-10-22,173,Statistical Modeling,Data Science
streamlit,2021-11-22,6,Web App Framework,Web Development
string,2023-03-12,4,String Operations,Utilities
subprocess,2024-03-25,13,Process Management,System
svglib,2023-07-05,2,SVG Rendering,Data Visualization
sympy,2024-04-25,2,Symbolic Mathematics,Data Science
sys,2021-08-17,27,System-Specific Parameters,System
tabula,2023-03-30,4,PDF Table Extraction,File Processing
tabulate,2023-03-30,2,Pretty-Print Tabular Data,Data Processing
tarfile,2022-03-28,17,Tar Archive Handling,File Processing
tempfile,2023-03-20,5,Temporary File Creation,File Processing
tensorflow,2022-04-29,12,Deep Learning,Data Science
termcolor,2024-04-24,1,ANSI Color Formatting,Development
texterrors,2024-04-24,2,Text Error Analysis,Data Processing
threading,2023-06-03,2,Multithreading,Development
ticker_convert,2022-05-25,6,Stock Ticker Conversion,Finance
tiktoken,2024-04-16,2,Text Encoding,Data Processing
time,2021-09-21,146,Time Access,Utilities
tkinter,2023-06-03,9,GUI Development,Development
torch,2024-04-12,57,Deep Learning,Data Science
torchmetrics,2024-04-24,2,Metrics for PyTorch,Data Science
tqdm,2022-01-25,23,Progress Bars,Development
typing,2023-06-03,8,Type Hints,Development
unicodedata,2022-09-08,3,Unicode Database,Utilities
urllib,2021-08-20,46,URL Handling,Web Services
urllib3,2024-04-25,2,HTTP Client,Web Services
vega_datasets,2024-04-25,6,Vega Datasets,Data Science
wandb,2024-04-24,1,Experiment Tracking,Data Science
warnings,2021-09-06,233,Warning Control,Development
wave,2024-04-24,2,WAV File I/O,Multimedia
webbrowser,2023-06-03,2,Web Browser Control,Web Services
wget,2024-04-24,37,File Download,Web Services
"wget,",2024-04-24,1,File Download,Web Services
whisper,2023-04-04,4,Speech Recognition,Data Science
wordninja,2024-04-24,1,Word Segmentation,Data Processing
xgboost,2022-04-30,8,Gradient Boosting,Data Science
xml,2023-07-08,2,XML Processing,File Processing
xxhash,2024-04-24,1,Hashing Algorithm,Utilities
yahoo_fin,2023-06-04,4,Yahoo Finance Data,Finance
yahoofinancials,2022-03-12,2,Yahoo Finance Data,Finance
yellowbrick,2021-11-14,4,Machine Learning Visualization,Data Science
yfinance,2021-09-18,45,Yahoo Finance Data,Finance
youtube_dl,2021-09-12,2,YouTube Video Download,Multimedia
zlib,2021-10-14,4,Data Compression,File Processing
